City,City ID,Country,Longitude,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
2155415,New Norfolk,AU,147.0587,-42.7826,66.51,41,28,4.0
3833367,Ushuaia,AR,-68.3,-54.8,48.2,71,75,8.05
2206939,Bluff,NZ,168.3333,-46.6,57.99,79,77,15.01
964432,Port Alfred,ZA,26.891,-33.5906,69.01,96,98,9.4
2163355,Hobart,AU,147.3294,-42.8794,67.82,40,40,19.57
6170031,Tuktoyaktuk,CA,-133.0374,69.4541,-18.4,76,75,9.22
1649150,Bengkulu,ID,102.2655,-3.8004,85.8,63,7,1.88
3874787,Punta Arenas,CL,-70.9167,-53.15,48.09,87,90,6.91
2112309,Katsuura,JP,140.3,35.1333,61.16,41,40,11.5
4020109,Atuona,PF,-139.0333,-9.8,80.33,68,4,10.11
3141667,Roald,NO,6.1333,62.5833,31.48,86,0,3.44
3372707,Ribeira Grande,PT,-28.7,38.5167,60.46,91,12,7.36
2122104,Petropavlovsk-Kamchatskiy,RU,158.6483,53.0452,42.8,36,0,6.71
6201424,Mataura,NZ,168.8643,-46.1927,57.99,79,100,15.01
1295395,Syriam,MM,96.2378,16.7722,82.4,69,20,3.44
3421319,Nuuk,GL,-51.7216,64.1835,21.2,86,20,14.97
359792,Aswān,EG,32.907,24.0934,64.9,40,0,6.26
5880054,Barrow,US,-156.7887,71.2906,-5.8,77,1,11.5
2110227,Butaritari,KI,172.7902,3.0707,81.55,79,11,14.43
3359638,Walvis Bay,NA,14.5053,-22.9575,59.92,94,77,4.61
5848280,Kapaa,US,-159.319,22.0752,70.9,88,90,18.41
4032243,Vaini,TO,-175.2,-21.2,75.2,94,75,3.44
2022064,Kirovskiy,RU,133.5136,45.0917,43.74,69,0,7.14
2075265,Busselton,AU,115.3333,-33.65,75.24,41,0,7.0
1791779,Wanning,CN,110.3967,18.8003,77.81,72,41,7.96
2905206,Hettstedt,DE,11.5,51.65,38.68,80,51,5.99
1638368,Kaili,ID,120.2147,-3.4626,80.26,65,18,3.42
3450083,Santa Maria,BR,-53.8069,-29.6842,73.4,83,40,9.22
155921,Liwale,TZ,37.9333,-9.7667,67.42,98,74,1.97
142255,Bāfq,IR,55.4107,31.6128,48.97,42,78,3.69
2128975,Nemuro,JP,145.575,43.3236,42.8,65,20,13.8
986717,Kruisfontein,ZA,24.7314,-34.0033,68.0,97,100,1.99
5855927,Hilo,US,-155.09,19.7297,69.51,83,90,4.61
2171099,Codrington,AU,141.9667,-38.2667,66.0,66,95,9.66
1015776,Bredasdorp,ZA,20.0403,-34.5322,66.2,94,100,3.44
779330,Kautokeino,NO,23.0412,69.0125,14.79,95,98,2.26
4021858,Guerrero Negro,MX,-114.0611,27.9769,56.86,75,51,18.37
5924351,Clyde River,CA,-68.5914,70.4692,-7.6,84,1,27.63
5282297,Bethel,US,-73.414,41.3712,26.06,45,3,15.73
2090021,Namatanai,PG,152.4333,-3.6667,84.29,65,95,5.61
87205,Darnah,LY,22.6367,32.767,55.36,78,5,9.19
2191562,Dunedin,NZ,170.5036,-45.8742,63.09,71,92,5.99
935215,Saint-Philippe,RE,55.7679,-21.3585,74.48,78,90,4.61
1490256,Talnakh,RU,88.3972,69.4865,-24.83,97,47,2.26
1214488,Meulaboh,ID,96.1285,4.1363,84.13,68,19,2.53
3421765,Nanortalik,GL,-45.2371,60.1432,28.8,83,100,12.12
3445713,Uruaçu,BR,-49.1408,-14.5247,69.85,88,99,2.24
5122534,Jamestown,US,-79.2353,42.097,22.75,63,1,11.32
2022572,Khatanga,RU,102.5,71.9667,-19.86,93,100,11.34
3369157,Cape Town,ZA,18.4232,-33.9258,61.48,88,75,17.27
4030556,Rikitea,PF,-134.9692,-23.1203,81.72,70,17,4.16
1214026,Sabang,ID,95.3214,5.8933,83.39,72,44,16.84
5557293,Sitka,US,-135.33,57.0531,32.0,43,75,5.75
5063646,Beatrice,US,-96.747,40.2681,42.06,93,90,14.97
6185377,Yellowknife,CA,-114.3525,62.456,8.6,78,90,9.22
2455290,Kidal,ML,1.4078,18.4411,69.67,25,2,8.41
1819729,Hong Kong,HK,114.1577,22.2855,72.28,60,20,4.61
2121909,Poronaysk,RU,143.1167,49.2167,33.21,92,9,2.26
1801640,Luzhou,CN,105.4405,28.8724,75.72,52,22,3.8
3382160,Cayenne,GF,-52.3333,4.9333,76.08,100,90,9.93
2017155,Saskylakh,RU,114.0833,71.9167,-20.94,92,96,4.03
2208248,Kaitangata,NZ,169.8464,-46.2817,57.6,91,100,8.08
4031574,Provideniya,RU,-173.3,64.3833,26.6,93,100,8.84
3839307,Rawson,AR,-65.1023,-43.3002,61.43,77,100,21.94
2126123,Chokurdakh,RU,147.9167,70.6333,-14.06,91,0,5.64
1151528,Pa Sang,TH,98.9394,18.5262,89.08,51,0,1.14
2538474,Rabat,MA,-6.8401,33.9911,48.65,100,0,3.44
1507390,Dikson,RU,80.5464,73.5069,-23.96,98,100,12.37
3495137,Pedernales,DO,-71.744,18.0384,77.05,75,35,5.91
3146487,Raudeberg,NO,5.1352,61.9875,37.0,86,0,15.93
4720067,Lavaca,US,-96.6261,28.615,60.98,82,40,4.61
3394023,Natal,BR,-35.2094,-5.795,77.07,83,20,3.44
1688696,San Policarpo,PH,125.5072,12.1791,83.14,74,27,9.04
1737185,Kapit,MY,112.9333,2.0167,90.97,56,55,1.74
2180815,Tuatapere,NZ,167.6833,-46.1333,57.99,79,92,15.01
3418910,Upernavik,GL,-56.1549,72.7868,-7.06,99,99,6.02
780687,Berlevåg,NO,29.0864,70.8578,30.42,92,100,17.18
1856392,Muroto-misakicho,JP,134.15,33.2833,64.4,42,0,4.61
1106677,Bambous Virieux,MU,57.7575,-20.3428,76.51,94,75,2.3
3461425,Ilhabela,BR,-45.3581,-23.7781,75.78,92,23,5.12
3466704,Castro,BR,-50.0119,-24.7911,62.8,88,21,2.57
2511440,San Bartolomé de Tirajana,ES,-15.5733,27.9248,61.84,72,20,13.8
2015306,Tiksi,RU,128.8694,71.6872,3.36,86,100,2.42
933995,Souillac,MU,57.5167,-20.5167,77.0,94,75,2.3
498904,Samur,RU,48.486,41.8253,34.65,74,70,5.48
6111632,Port Alberni,CA,-124.8028,49.2413,33.75,91,100,1.66
3452599,Posse,BR,-46.3694,-14.0931,67.93,74,7,3.96
1267390,Kavaratti,IN,72.642,10.5669,82.9,67,15,5.5
3401148,Cururupu,BR,-44.8683,-1.8283,73.65,96,12,1.79
